"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
12,12,"Agent 1",1,2707535,2707535,4194304,17,"integrated_peps_wmma(_Float16 const*, float const*, WorkloadConfig, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, int, int, int, float*)",64,13312,0,56,0,128,"MeanOccupancyPerCU",8.971655,577615267105788,577615291116042
12,12,"Agent 1",1,2707535,2707535,4194304,17,"integrated_peps_wmma(_Float16 const*, float const*, WorkloadConfig, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, int, int, int, float*)",64,13312,0,56,0,128,"OccupancyPercent",28.036422,577615267105788,577615291116042
13,13,"Agent 1",1,2707535,2707535,4194304,17,"integrated_peps_wmma(_Float16 const*, float const*, WorkloadConfig, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, int, int, int, float*)",64,13312,0,56,0,128,"MeanOccupancyPerCU",8.964138,577615291207863,577615315254225
13,13,"Agent 1",1,2707535,2707535,4194304,17,"integrated_peps_wmma(_Float16 const*, float const*, WorkloadConfig, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, int, int, int, float*)",64,13312,0,56,0,128,"OccupancyPercent",28.012932,577615291207863,577615315254225
14,14,"Agent 1",1,2707535,2707535,4194304,17,"integrated_peps_wmma(_Float16 const*, float const*, WorkloadConfig, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, int, int, int, float*)",64,13312,0,56,0,128,"MeanOccupancyPerCU",8.960212,577615315307548,577615339355847
14,14,"Agent 1",1,2707535,2707535,4194304,17,"integrated_peps_wmma(_Float16 const*, float const*, WorkloadConfig, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, int, int, int, float*)",64,13312,0,56,0,128,"OccupancyPercent",28.000661,577615315307548,577615339355847
15,15,"Agent 1",1,2707535,2707535,4194304,17,"integrated_peps_wmma(_Float16 const*, float const*, WorkloadConfig, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, int, int, int, float*)",64,13312,0,56,0,128,"MeanOccupancyPerCU",8.967487,577615339390551,577615363400297
15,15,"Agent 1",1,2707535,2707535,4194304,17,"integrated_peps_wmma(_Float16 const*, float const*, WorkloadConfig, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, int, int, int, float*)",64,13312,0,56,0,128,"OccupancyPercent",28.023397,577615339390551,577615363400297
16,16,"Agent 1",1,2707535,2707535,4194304,17,"integrated_peps_wmma(_Float16 const*, float const*, WorkloadConfig, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, int, int, int, float*)",64,13312,0,56,0,128,"MeanOccupancyPerCU",8.967075,577615363433851,577615387584662
16,16,"Agent 1",1,2707535,2707535,4194304,17,"integrated_peps_wmma(_Float16 const*, float const*, WorkloadConfig, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, int, int, int, float*)",64,13312,0,56,0,128,"OccupancyPercent",28.022111,577615363433851,577615387584662
17,17,"Agent 1",1,2707535,2707535,4194304,17,"integrated_peps_wmma(_Float16 const*, float const*, WorkloadConfig, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, _Float16 const*, float const*, int, int, int, float*)",64,13312,0,56,0,128,"MeanOccupancyPerCU",8.967035,577615387623028,577615411700091
