artifact,profile,method,metric,count,expected_count,complete,mean,std,ci95_low,ci95_high,paper_value,delta_from_paper,verification_status
table1,full,LPE,flip,1,72,False,0.025574132800102234,,,,0.0184,0.007174132800102234,partial_do_not_interpret
table1,full,LPE,lpips,1,72,False,0.0009123020572587848,,,,0.00162,-0.0007076979427412151,partial_do_not_interpret
table1,full,LPE,lsd,1,72,False,0.0027107811312634474,,,,0.00749,-0.004779218868736553,partial_do_not_interpret
table1,full,LPE,psnr,1,72,False,47.48910253777778,,,,45.06,2.42910253777778,partial_do_not_interpret
table1,full,LPE,ssim,1,72,False,0.9975550770759583,,,,0.992,0.005555077075958259,partial_do_not_interpret
smoke,smoke,G-P-PEPS,flip,24,24,True,0.8323344786961874,0.07569758637666169,0.8003701913155613,0.8642987660768134,,,smoke_not_paper_comparable
smoke,smoke,G-P-PEPS,lpips,24,24,True,0.9727400441964468,0.04654982859269715,0.953083775484627,0.9923963129082666,,,smoke_not_paper_comparable
smoke,smoke,G-P-PEPS,lsd,24,24,True,0.08733608752196349,0.01790616602471547,0.0797749767376483,0.09489719830627869,,,smoke_not_paper_comparable
smoke,smoke,G-P-PEPS,psnr,24,24,True,7.049084921048703,1.7148875638448082,6.324951411118231,7.773218430979175,,,smoke_not_paper_comparable
smoke,smoke,G-P-PEPS,ssim,24,24,True,0.04378931814183792,0.01999619252505247,0.035345666567417784,0.05223296971625805,,,smoke_not_paper_comparable
smoke,smoke,G-P-PEPS-25,flip,24,24,True,0.8350975066423416,0.07481271764136349,0.8035068665588495,0.8666881467258337,,,smoke_not_paper_comparable
smoke,smoke,G-P-PEPS-25,lpips,24,24,True,0.9728924011190733,0.043955397227106306,0.9543316646920796,0.9914531375460669,,,smoke_not_paper_comparable
smoke,smoke,G-P-PEPS-25,lsd,24,24,True,0.08746316981376144,0.017898394548390175,0.07990534063609349,0.09502099899142939,,,smoke_not_paper_comparable
smoke,smoke,G-P-PEPS-25,psnr,24,24,True,7.159894154843495,1.7428818643663913,6.423939688529566,7.895848621157424,,,smoke_not_paper_comparable
smoke,smoke,G-P-PEPS-25,ssim,24,24,True,0.06252859928645194,0.026613651743726024,0.05129063975163336,0.0737665588212705,,,smoke_not_paper_comparable
smoke,smoke,G-PEPS,flip,24,24,True,0.7836625526348749,0.08295434916734168,0.7486340030710382,0.8186911021987117,,,smoke_not_paper_comparable
smoke,smoke,G-PEPS,lpips,24,24,True,1.0246760721007984,0.06382393500831314,0.9977255879702093,1.0516265562313876,,,smoke_not_paper_comparable
smoke,smoke,G-PEPS,lsd,24,24,True,0.08724314406475477,0.0179141194696655,0.07967867483518104,0.09480761329432849,,,smoke_not_paper_comparable
smoke,smoke,G-PEPS,psnr,24,24,True,6.865471510043719,1.6345190321418672,6.175274654723727,7.555668365363711,,,smoke_not_paper_comparable
smoke,smoke,G-PEPS,ssim,24,24,True,0.01037695465493016,0.015641183459249457,0.0037722621277892082,0.01698164718207111,,,smoke_not_paper_comparable
smoke,smoke,Grid,flip,24,24,True,0.8431611383954684,0.07201369002117422,0.8127524240182049,0.8735698527727318,,,smoke_not_paper_comparable
smoke,smoke,Grid,lpips,24,24,True,1.0091388151049614,0.043342007347763986,0.9908370905080426,1.0274405397018802,,,smoke_not_paper_comparable
smoke,smoke,Grid,lsd,24,24,True,0.08737684708407424,0.017946406832094614,0.0797987440970606,0.09495495007108788,,,smoke_not_paper_comparable
smoke,smoke,Grid,psnr,24,24,True,6.004314232584201,1.5076455281759518,5.367691359419654,6.640937105748748,,,smoke_not_paper_comparable
smoke,smoke,Grid,ssim,24,24,True,-0.08810351028417547,0.026253008030827765,-0.0991891833349345,-0.07701783723341644,,,smoke_not_paper_comparable
smoke,smoke,LPE,flip,24,24,True,0.8442711432774862,0.07164494318964991,0.8140181370311913,0.8745241495237811,,,smoke_not_paper_comparable
smoke,smoke,LPE,lpips,24,24,True,0.9705322509010633,0.04548859187154964,0.9513241031552786,0.989740398646848,,,smoke_not_paper_comparable
smoke,smoke,LPE,lsd,24,24,True,0.08764869504112154,0.017926935276467566,0.08007881417094943,0.09521857591129364,,,smoke_not_paper_comparable
smoke,smoke,LPE,psnr,24,24,True,5.923869003935046,1.5272690253779309,5.278959854628802,6.56877815324129,,,smoke_not_paper_comparable
smoke,smoke,LPE,ssim,24,24,True,-0.16273293054352203,0.058825197483528685,-0.1875726329381192,-0.13789322814892485,,,smoke_not_paper_comparable
smoke,smoke,NTC_N,flip,24,24,True,0.8109049846728643,0.08177189077913408,0.7763757434958001,0.8454342258499286,,,smoke_not_paper_comparable
smoke,smoke,NTC_N,lpips,24,24,True,0.9560894618431727,0.04836426454833966,0.9356670240221912,0.9765118996641542,,,smoke_not_paper_comparable
smoke,smoke,NTC_N,lsd,24,24,True,0.0872179749297277,0.01791977911528086,0.07965111584140708,0.09478483401804833,,,smoke_not_paper_comparable
smoke,smoke,NTC_N,psnr,24,24,True,7.554962314370421,1.7985502228229853,6.795501161874185,8.314423466866657,,,smoke_not_paper_comparable
smoke,smoke,NTC_N,ssim,24,24,True,0.1324746396082143,0.0521809199135055,0.1104405695706132,0.15450870964581537,,,smoke_not_paper_comparable
smoke,smoke,NTC_PEPS,flip,24,24,True,0.8096548120180765,0.08163385674934778,0.7751838574999084,0.8441257665362447,,,smoke_not_paper_comparable
smoke,smoke,NTC_PEPS,lpips,24,24,True,0.9812951485315958,0.04839915362868352,0.9608579783440497,1.001732318719142,,,smoke_not_paper_comparable
smoke,smoke,NTC_PEPS,lsd,24,24,True,0.08671868940368122,0.017898735642164425,0.0791607161947443,0.09427666261261813,,,smoke_not_paper_comparable
smoke,smoke,NTC_PEPS,psnr,24,24,True,8.342144999018359,1.9274139824686052,7.528269453099264,9.156020544937455,,,smoke_not_paper_comparable
smoke,smoke,NTC_PEPS,ssim,24,24,True,0.23131154011934996,0.06989828918092389,0.20179608117623635,0.2608269990624636,,,smoke_not_paper_comparable
smoke,smoke,NTC_PinkPEPS,flip,24,24,True,0.8298482398192087,0.07643964865870115,0.7975706070180377,0.8621258726203798,,,smoke_not_paper_comparable
smoke,smoke,NTC_PinkPEPS,lpips,24,24,True,1.0112424815694492,0.06001251910825176,0.9859014172234017,1.0365835459154966,,,smoke_not_paper_comparable
smoke,smoke,NTC_PinkPEPS,lsd,24,24,True,0.08691558817825491,0.01790825120362491,0.07935359690010772,0.0944775794564021,,,smoke_not_paper_comparable
smoke,smoke,NTC_PinkPEPS,psnr,24,24,True,6.744784682432564,1.627363066143102,6.0576095265434144,7.431959838321713,,,smoke_not_paper_comparable
smoke,smoke,NTC_PinkPEPS,ssim,24,24,True,0.02310433374562611,0.02147434408971406,0.014036513506568976,0.03217215398468325,,,smoke_not_paper_comparable
smoke,smoke,PE,flip,24,24,True,0.8330037097136179,0.0752657394616593,0.8012217752923966,0.8647856441348393,,,smoke_not_paper_comparable
smoke,smoke,PE,lpips,24,24,True,0.9743783151110014,0.0351352639758184,0.95954199431566,0.9892146359063427,,,smoke_not_paper_comparable
smoke,smoke,PE,lsd,24,24,True,0.08617150838928749,0.018078480383306235,0.07853763563274246,0.0938053811458325,,,smoke_not_paper_comparable
smoke,smoke,PE,psnr,24,24,True,6.905965522451257,1.707110314796914,6.185116056774991,7.6268149881275225,,,smoke_not_paper_comparable
smoke,smoke,PE,ssim,24,24,True,-0.0037795786483911797,0.02605467197281671,-0.014781501726929684,0.007222344430147324,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-Brownian-PEPS,psnr,1,1,True,8.08640714904393,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-Brownian-PEPS,ssim,1,1,True,0.09394235163927078,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-P-PEPS-L1,psnr,1,1,True,8.254032732250392,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-P-PEPS-L1,ssim,1,1,True,0.10657931864261627,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-P-PEPS-L1-dual-cosine-LeakyReLU,psnr,1,1,True,7.085450302831876,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-P-PEPS-L1-dual-cosine-LeakyReLU,ssim,1,1,True,-0.007468822877854109,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-P-PEPS-L1-fixed-GELU,psnr,1,1,True,8.511906123640758,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-P-PEPS-L1-fixed-GELU,ssim,1,1,True,0.13191771507263184,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-P-PEPS-L1-fixed-SiLU,psnr,1,1,True,8.528162209555848,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-P-PEPS-L1-fixed-SiLU,ssim,1,1,True,0.13321582973003387,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-P-PEPS-L2-fixed-LeakyReLU,psnr,1,1,True,8.239985572838908,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-P-PEPS-L2-fixed-LeakyReLU,ssim,1,1,True,0.10045447200536728,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-PEPS-WIRE-sensitivity,psnr,1,1,True,5.7198401640713055,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-PEPS-WIRE-sensitivity,ssim,1,1,True,-0.0014658634318038821,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-PEPS-frequency-pair-sum,psnr,1,1,True,6.827902067029683,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-PEPS-frequency-pair-sum,ssim,1,1,True,0.038363151252269745,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-PEPS-full-sum,psnr,1,1,True,6.336807905388754,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-PEPS-full-sum,ssim,1,1,True,-0.03798156604170799,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-PEPS-no-original-point,psnr,1,1,True,7.00758318096698,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-PEPS-no-original-point,ssim,1,1,True,0.05750933662056923,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-PEPS-no-sharing,psnr,1,1,True,7.432079721757132,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,G-PEPS-no-sharing,ssim,1,1,True,0.059208743274211884,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,Grid-L1,psnr,1,1,True,8.088219427829632,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,Grid-L1,ssim,1,1,True,0.11581987887620926,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,NTC_N-L1,psnr,1,1,True,10.251047079921767,,,,,,smoke_not_paper_comparable
appendix-smoke,smoke,NTC_N-L1,ssim,1,1,True,0.1937267780303955,,,,,,smoke_not_paper_comparable
