point_x,point_y,frequency_index,projected_x,projected_y,normalized_phi
0.2,0.3,1,0.6545084714889526,0.3454914093017578,0.10000000149011612
0.2,0.3,2,0.09549149870872498,0.09549161791801453,0.20000000298023224
0.2,0.3,3,0.6545085906982422,0.6545081734657288,0.4000000059604645
0.2,0.3,4,0.09549158811569214,0.09549111127853394,0.800000011920929
0.3,0.45,1,0.3454914093017578,0.024471759796142578,0.10000000149011612
0.3,0.45,2,0.09549161791801453,0.9045084714889526,0.20000000298023224
0.3,0.45,3,0.6545081734657288,0.6545084118843079,0.4000000059604645
0.3,0.45,4,0.09549111127853394,0.09549140930175781,0.800000011920929
0.4,0.6,1,0.09549149870872498,0.09549161791801453,0.10000000149011612
0.4,0.6,2,0.6545085906982422,0.6545081734657288,0.20000000298023224
0.4,0.6,3,0.09549158811569214,0.09549111127853394,0.4000000059604645
0.4,0.6,4,0.6545082330703735,0.6545097827911377,0.800000011920929
