point_x,point_y,frequency_index,phi,projected_x,projected_y
0.35,0.2,1,6.283185307179586,0.9045084714889526,0.9755282402038574
0.35,0.2,2,12.566370614359172,0.024471759796142578,0.7938926219940186
0.35,0.2,3,25.132741228718345,0.7938927412033081,0.024471759796142578
0.35,0.2,4,50.26548245743669,0.024471670389175415,0.2061072587966919
0.2,0.3,1,6.283185307179586,0.9755282402038574,0.9755282402038574
0.2,0.3,2,12.566370614359172,0.7938926219940186,0.2061072289943695
0.2,0.3,3,25.132741228718345,0.024471759796142578,0.975528359413147
0.2,0.3,4,50.26548245743669,0.2061072587966919,0.7938920855522156
