loss,instance,seed,optimizer_steps,ntc_n_psnr,ntc_peps_psnr,peps_advantage_db,advantage_AO,advantage_DIFF,advantage_Displacement,advantage_metal,advantage_normal,advantage_rough
global_l1,metal-plates-013,0,120000,42.35844427949883,44.941646734180544,2.583202454681711,1.4926131134469216,-0.244806198982225,2.778685102658798,9.476505741715094,0.7095886909350497,1.2866282783166199
global_l1,metal-plates-013,0,240000,43.18095810092479,45.500813215481706,2.3198551145569155,1.0757074587136515,-0.13199483256320121,2.552480894118645,8.26228075629421,0.8759888975763843,1.2846675132017822
global_l1,metal-plates-013,0,480000,43.76524804025025,45.81457470219539,2.0493266619451376,1.0904316119170971,0.016715824523558354,2.407703410701288,7.179287773829557,0.6011887108099927,1.0006326398893393
global_l1,paving-stones-070,0,120000,33.48868638862665,34.14753502933098,0.6588486407043348,1.179934202958762,2.570621199424661,-0.31155472809135887,,0.010208411388276772,-0.15496588215862772
global_l1,paving-stones-070,0,240000,33.91014778668326,34.47024138711225,0.560093600428992,0.9826334443329259,2.410448395910194,-0.29662310436304296,,-0.14079949135430425,-0.15519124238080195
global_l1,paving-stones-070,0,480000,34.16055812239454,34.610213758277744,0.4496556358832038,0.8926837098093117,1.820589645283487,-0.18479616216446004,,-0.2163602807866063,-0.06383873272572771
global_l1,paving-stones-070,1,120000,33.329894275612304,34.11599233270496,0.7860980570926586,1.2400495045996536,2.3268662616153897,0.4498812879729286,,0.16124245676270021,-0.24754922548738278
global_l1,paving-stones-070,1,480000,34.09431479448877,34.740060188730915,0.645745394242148,1.0106945490286634,1.7686460970654672,0.4478364413974205,,-0.045752654851085595,0.04730253857026412
per_map_normalised_l1,paving-stones-070,0,240000,35.21917553439323,38.41106088045206,3.1918853460588323,12.79646457381505,-0.5252822698550972,3.5163097270460497,,0.5192979222381844,-0.34736322295002964
per_map_normalised_l1,paving-stones-070,0,480000,35.68997851465848,39.22337573782695,3.533397223168471,14.203850906405329,-0.6859633582308469,3.833170882205124,,0.5777735603444434,-0.2618458748816579
